1	-1	-40	1	1	-40	-1	1	-40	255	255	255
-1	1	-40	1	1	-40	0	0	-39	50	50	50
0	0	-39	1	1	-40	1	-1	-40	100	100	100
-1	1	-40	0	0	-39	1	-1	-40	150	150	150
2	6	-12	6	2	-12	2	2	-12	255	0	0
2	-2	-12	6	-2	-12	2	-6	-12	255	0	0
-6	-2	-12	-2	-2	-12	-2	-6	-12	255	0	0
-6	2	-12	-2	6	-12	-2	-2	-12	255	0	0
-6	2	-12	-2	2	-12	-2	-2	-12	255	0	0
-6	2	-12	-2	-2	-12	-6	-2	-12	255	0	0
2	2	-12	6	2	-12	6	-2	-12	255	0	0
2	2	-12	6	-2	-12	2	-2	-12	255	0	0
-2	6	-12	2	6	-12	2	2	-12	255	0	0
-2	6	-12	2	2	-12	-2	2	-12	255	0	0
-2	-2	-12	2	-2	-12	2	-6	-12	255	0	0
-2	-2	-12	2	-6	-12	-2	-6	-12	255	0	0
-2	2.001	-12	2	2.001	-12	2	2	-16	0	255	255
2	2	-12	-2	2	-12	2	2.001	-16	0	255	255
-2	2	-12	2.001	2	-16	-2	2	-16	0	255	255
2	2.001	-16	-2	2	-12	-2	2.001	-16	0	255	255
-2	-1.999	-12	2	-1.999	-12	2	-2	-16	120	120	255
2	-2	-12	-2	-2	-12	2	-1.999	-16	120	120	255
-2	-2	-12	2.001	-2	-16	-2	-2	-16	120	120	255
2	-1.999	-16	-2	-2	-12	-2	-1.999	-16	120	120	255
-2.001	-2	-12	-2.001	2	-12	-2	2	-16	255	0	255
-2	2	-12	-2	-2	-12	-2	2.001	-16	255	0	255
-2	-2	-12	-2.001	-2	-16	-2.001	2	-16	255	0	255
-2.001	-2	-12	-2	2	-16	-2	-2	-16	255	0	255
1.999	-2	-12	1.999	2	-12	2	2	-16	255	255	0
2	2	-12	2	-2	-12	2	2.001	-16	255	255	0
2	-2	-12	1.999	-2	-16	1.999	2	-16	255	255	0
1.999	-2	-12	2	2	-16	2	-2	-16	255	255	0
-2	2.001	-16	2	2.001	-16	2	2	-20	0	150	255
2	2	-16	-2	2	-16	2	2.001	-20	0	150	255
-2	2	-16	2.001	2	-20	-2	2	-20	0	150	255
2	2.001	-20	-2	2	-16	-2	2.001	-20	0	150	255
-2	-1.999	-16	2	-1.999	-16	2	-2	-20	120	0	255
2	-2	-16	-2	-2	-16	2	-1.999	-20	120	0	255
-2	-2	-16	2.001	-2	-20	-2	-2	-20	120	0	255
2	-1.999	-20	-2	-2	-16	-2	-1.999	-20	120	0	255
-2.001	-2	-16	-2.001	2	-16	-2	2	-20	255	0	150
-2	2	-16	-2	-2	-16	-2	2.001	-20	255	0	150
-2	-2	-16	-2.001	-2	-20	-2.001	2	-20	255	0	150
-2.001	-2	-16	-2	2	-20	-2	-2	-20	255	0	150
1.999	-2	-16	1.999	2	-16	2	2	-20	120	120	0
2	2	-16	2	-2	-16	2	2.001	-20	120	120	0
2	-2	-16	1.999	-2	-20	1.999	2	-20	120	120	0
1.999	-2	-16	2	2	-20	2	-2	-20	120	120	0
-2	-6	-12	2	-6	-12	2	-6	-16	50	255	255
-2	-6	-12	2	-6	-16	-2	-6	-16	50	255	255
-2	-6	-16	2	-6	-16	2	-6	-20	50	255	255
-2	-6	-16	2	-6	-20	-2	-6	-20	50	255	255
2	6	-12	-2	6	-12	2	6	-16	50	120	255
2	6	-16	-2	6	-12	-2	6	-16	50	120	255
2	6	-16	-2	6	-16	2	6	-20	50	120	255
2	6	-20	-2	6	-16	-2	6	-20	50	120	255
6	-2	-12	6	2	-12	6	2	-16	255	50	255
6	-2	-12	6	2	-16	6	-2	-16	255	50	255
6	-2	-16	6	2	-16	6	2	-20	255	50	255
6	-2	-16	6	2	-20	6	-2	-20	255	50	255
-6	2	-12	-6	-2	-12	-6	2	-16	255	255	50
-6	-2	-12	-6	-2	-16	-6	2	-16	255	255	50
-6	2	-16	-6	-2	-16	-6	2	-20	255	255	50
-6	-2	-16	-6	-2	-20	-6	2	-20	255	255	50
-6	-2	-12	-2	-6	-12	-2	-6	-16	0	0	255
-6	-2	-16	-6	-2	-12	-2	-6	-16	0	0	255
-6	-2	-16	-2	-6	-16	-2	-6	-20	0	0	255
-6	-2	-20	-6	-2	-16	-2	-6	-20	0	0	255
2	-6	-12	6	-2	-12	6	-2	-16	0	0	255
2	-6	-16	2	-6	-12	6	-2	-16	0	0	255
2	-6	-16	6	-2	-16	6	-2	-20	0	0	255
2	-6	-20	2	-6	-16	6	-2	-20	0	0	255
-2	6	-12	-6	2	-12	-2	6	-16	0	0	255
-2	6	-16	-6	2	-12	-6	2	-16	0	0	255
-2	6	-16	-6	2	-16	-2	6	-20	0	0	255
-2	6	-20	-6	2	-16	-6	2	-20	0	0	255
6	2	-12	2	6	-12	6	2	-16	0	0	255
6	2	-16	2	6	-12	2	6	-16	0	0	255
6	2	-16	2	6	-16	6	2	-20	0	0	255
6	2	-20	2	6	-16	2	6	-20	0	0	255
6	2	-20	2	6	-20	2	2	-20	0	255	0
6	-2	-20	2	-2	-20	2	-6	-20	0	255	0
-2	-2	-20	-6	-2	-20	-2	-6	-20	0	255	0
-2	6	-20	-6	2	-20	-2	-2	-20	0	255	0
-2	2	-20	-6	2	-20	-2	-2	-20	0	255	0
-2	-2	-20	-6	2	-20	-6	-2	-20	0	255	0
6	2	-20	2	2	-20	6	-2	-20	0	255	0
6	-2	-20	2	2	-20	2	-2	-20	0	255	0
2	6	-20	-2	6	-20	2	2	-20	0	255	0
2	2	-20	-2	6	-20	-2	2	-20	0	255	0
2	-2	-20	-2	-2	-20	2	-6	-20	0	255	0
2	-6	-20	-2	-2	-20	-2	-6	-20	0	255	0
